SEXO,EDAD,NIVEL_LOGRO,PREG1,PREG2,PREG3,PREG4,PREG5,PREG6,PREG7,PREG8,PREG9,PREG10,PERMUTACION_ID,CLUSTER_ID
1,1.0818238468109702,0,0,1,0,0,0,0,0,1,0,0,48,7
0,-0.4761021998638143,2,1,0,1,0,0,1,0,1,1,1,13,5
1,1.0818238468109702,3,1,1,1,1,0,1,1,1,1,1,40,0
1,-0.4761021998638143,1,1,0,1,0,0,0,1,0,0,0,49,65
1,-0.4761021998638143,1,0,0,0,0,1,1,1,0,0,0,50,28
0,1.0818238468109702,1,0,1,1,0,0,1,0,0,1,0,38,83
1,-0.4761021998638143,1,1,0,0,1,0,0,0,1,0,1,23,38
0,-0.4761021998638143,2,0,1,1,0,1,1,1,1,1,0,42,78
0,-0.4761021998638143,1,1,1,0,1,1,0,0,0,0,0,15,11
0,-0.4761021998638143,2,1,1,1,0,0,0,1,0,0,1,49,65
1,-0.4761021998638143,2,1,0,1,1,1,1,0,1,0,0,13,5
1,-0.4761021998638143,2,1,1,0,1,1,1,1,0,0,1,51,44
0,-0.4761021998638143,3,1,0,1,1,1,0,1,1,1,1,10,41
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,0,39,81
0,-0.4761021998638143,3,1,0,1,1,0,1,1,1,1,1,52,66
1,-0.4761021998638143,0,0,1,1,0,0,0,0,0,0,0,53,94
0,-2.0340282465385986,2,0,1,0,1,1,0,0,1,1,0,19,76
1,1.0818238468109702,1,1,0,1,1,0,0,1,0,0,0,40,0
0,-0.4761021998638143,1,1,0,0,0,1,1,0,0,1,0,52,66
1,1.0818238468109702,1,1,0,0,1,0,0,0,1,0,0,39,81
0,1.0818238468109702,2,1,0,1,1,1,1,0,0,1,0,44,40
0,1.0818238468109702,2,0,1,1,0,1,1,0,0,1,1,21,21
0,-0.4761021998638143,2,1,0,0,1,1,1,1,1,1,0,52,66
1,-0.4761021998638143,2,1,0,0,1,0,1,0,1,1,1,1,13
1,-0.4761021998638143,2,0,1,1,1,1,0,0,0,1,1,28,9
0,1.0818238468109702,2,1,1,1,0,0,1,1,1,0,1,54,18
1,-0.4761021998638143,0,0,0,0,1,0,0,0,0,0,1,29,63
1,1.0818238468109702,2,0,1,1,0,0,1,0,1,1,0,38,83
1,1.0818238468109702,3,1,1,0,1,1,1,1,1,1,0,19,76
1,-0.4761021998638143,1,1,1,0,0,0,1,0,0,0,1,51,44
0,-0.4761021998638143,1,0,1,0,0,0,0,1,0,1,0,55,4
0,1.0818238468109702,0,0,0,0,0,0,1,0,1,0,0,56,90
1,-0.4761021998638143,2,1,1,1,0,0,1,1,1,0,0,13,5
1,-2.0340282465385986,3,1,1,1,1,1,1,1,0,1,1,13,5
1,1.0818238468109702,1,0,1,1,0,0,0,1,0,0,1,32,26
0,-0.4761021998638143,1,0,1,0,1,0,1,0,0,1,0,57,60
0,1.0818238468109702,2,1,1,1,0,1,1,0,1,0,0,21,21
1,1.0818238468109702,1,0,0,1,1,0,0,1,0,0,0,40,0
1,1.0818238468109702,1,1,0,0,0,0,0,1,1,1,0,58,52
1,-0.4761021998638143,0,0,0,0,0,0,0,0,1,0,0,59,82
1,-0.4761021998638143,2,0,0,1,1,1,0,0,1,0,1,28,9
1,-0.4761021998638143,2,0,0,1,1,0,1,1,1,1,0,60,36
0,-0.4761021998638143,2,0,1,1,0,1,1,0,0,0,1,61,74
0,-0.4761021998638143,3,1,1,0,1,1,1,1,1,1,1,13,5
1,-0.4761021998638143,1,0,0,0,0,1,1,1,1,0,0,50,28
1,-0.4761021998638143,3,1,1,1,0,1,1,1,1,1,1,13,5
0,-0.4761021998638143,2,0,1,1,0,1,0,0,1,1,0,4,37
0,1.0818238468109702,1,0,0,1,1,0,1,0,0,0,0,21,21
1,-0.4761021998638143,0,0,1,0,1,0,0,0,0,0,0,22,35
0,-2.0340282465385986,2,1,1,0,1,1,0,1,0,1,1,10,41
0,1.0818238468109702,2,0,1,0,1,1,0,0,0,1,1,19,76
1,1.0818238468109702,2,1,0,1,1,1,1,0,1,1,0,21,21
1,-0.4761021998638143,0,0,0,0,0,0,1,0,0,0,1,62,17
1,-0.4761021998638143,2,1,1,0,1,0,0,1,1,1,1,23,38
0,-0.4761021998638143,2,0,1,1,0,1,1,1,0,0,1,42,78
1,1.0818238468109702,1,1,1,0,0,0,0,1,1,0,0,58,52
0,1.0818238468109702,2,0,1,1,0,0,1,1,0,1,1,38,83
0,1.0818238468109702,0,0,0,1,0,0,0,0,0,0,1,28,9
1,-0.4761021998638143,2,0,1,1,0,0,0,1,1,1,1,39,81
1,-0.4761021998638143,0,0,0,0,0,0,0,0,1,0,1,31,15
1,-2.0340282465385986,2,0,0,1,1,1,1,0,0,1,1,60,36
1,1.0818238468109702,0,0,1,1,0,0,0,0,0,0,0,44,40
1,1.0818238468109702,0,0,1,0,0,0,0,0,0,1,0,63,47
